id,fakultas,pekerjaan_ayah,pekerjaan_ibu,pendapatan_class,penghasilan_ayah,penghasilan_ibu,kepemilikan_rumah,koreksi_pengeluaran_mhs_iuran_sekolah,kendaraan,listrik,keberadaan_orangtua,pajak,ukt
1385,5,6,1,1,1900000,0,3,60000,1,2,2.0,0.0,3
3069,2,3,9,4,700000,4024400,3,70000,1,2,2.0,0.0,5
1564,5,7,1,1,1500000,0,1,240000,3,1,2.0,225000.0,4
2069,2,0,8,1,0,2500000,4,25000,3,2,1.0,400000.0,3
4512,2,2,2,1,1500000,500000,2,120000,1,1,2.0,0.0,1
1584,10,7,2,5,3000000,1000000,3,745000,3,2,2.0,700000.0,6
1248,8,6,5,8,15000000,0,7,1000000,8,4,2.0,4500000.0,8
4899,8,7,0,1,1000000,0,3,45000,3,2,1.0,216000.0,2
1590,10,9,7,8,6950700,3000000,5,41000,3,3,2.0,1600000.0,8
4945,8,7,5,1,1500000,500000,1,0,3,1,2.0,0.0,1
4796,2,2,2,2,2500000,500000,2,60000,3,1,2.0,300000.0,2
4867,4,2,2,1,1500000,200000,1,60000,3,1,2.0,0.0,1
3315,2,6,9,7,3000000,4000000,4,408,3,3,2.0,500.0,6
3072,2,1,9,4,0,4600000,3,0,3,2,2.0,250000.0,5
4982,6,7,1,2,2000000,0,1,60000,1,2,2.0,0.0,1
1252,8,7,7,8,6000000,4000000,1,410000,7,2,2.0,36000000.0,7
4841,5,5,3,5,0,2000000,3,70000,3,1,1.0,0.0,3
1602,10,7,6,8,2500000,4703543,1,500000,3,3,2.0,300000.0,7
2400,8,2,3,6,3000000,2000000,4,26000,3,2,2.0,3100000.0,7
4712,2,8,1,1,2500000,0,2,150000,3,1,2.0,0.0,2
2401,8,6,1,4,4088000,0,5,90000,3,3,2.0,0.0,5
2637,2,6,1,8,5000000,0,5,70000,3,3,2.0,200000.0,6
3026,1,9,9,8,8000000,8000000,7,0,6,4,2.0,3500000.0,7
3316,2,7,1,8,6000000,0,5,75000,3,3,2.0,284000.0,6
1993,5,3,3,1,1000000,500000,1,70000,3,1,2.0,434000.0,3
2639,2,8,1,8,4000000,0,1,35000,3,2,2.0,50000.0,6
2079,2,9,9,8,5000000,3000000,5,0,3,2,2.0,350000.0,6
4081,2,2,2,5,2000000,2000000,1,50000,3,1,2.0,0.0,3
2402,8,7,1,3,2700000,0,4,150000,3,2,2.0,230000.0,4
3187,2,7,9,8,3236600,4434400,4,15000,4,2,2.0,518250.0,6
2403,8,6,1,8,10922337,0,5,700000,3,4,2.0,73000.0,8
2404,8,6,1,8,14334533,0,8,250000,3,3,2.0,219000.0,8
3317,2,9,1,6,6224300,0,4,150000,3,1,2.0,400000.0,6
4843,5,2,1,1,750000,0,2,50000,1,1,2.0,0.0,1
4087,9,7,1,1,1500000,0,1,100000,1,2,2.0,0.0,1
1629,8,6,9,8,5000000,5500000,3,55000,6,3,2.0,2000000.0,8
3657,9,2,1,2,3000000,0,2,0,3,2,2.0,150000.0,4
2770,2,7,1,8,4500000,0,3,295000,3,2,2.0,210000.0,6
4854,5,7,7,7,2000000,2000000,3,90000,3,2,2.0,600000.0,4
4581,9,2,1,1,1500000,0,1,0,4,1,2.0,0.0,1
3658,9,2,2,3,3500000,750000,2,210000,3,1,2.0,300000.0,4
2083,2,7,1,8,10000000,0,1,830000,3,3,2.0,231000.0,6
3193,2,2,1,2,3000000,0,2,310000,3,1,2.0,72000.0,3
3323,1,9,9,8,4509700,3901500,7,90000,6,3,2.0,2329626.0,6
4670,1,2,2,2,2000000,500000,1,0,3,2,2.0,300000.0,2
2085,2,2,1,3,4200000,0,3,225000,3,3,2.0,164000.0,5
4836,8,1,1,1,1500000,0,2,140000,3,2,2.0,0.0,2
4586,9,1,1,2,1500000,0,2,35000,3,2,2.0,0.0,2
3666,3,6,1,8,4350000,0,1,190000,4,4,2.0,750750.0,6
1809,7,9,9,8,4849800,3767100,4,450000,6,2,2.0,2245100.0,7
2115,10,7,1,8,6000000,0,4,290000,3,3,2.0,248800.0,7
4078,8,1,1,1,1500000,0,1,50000,3,1,2.0,224000.0,2
4714,2,2,2,8,0,2000000,2,0,1,1,2.0,0.0,4
3808,3,6,1,2,3171382,0,3,20000,3,3,2.0,125000.0,3
2571,2,6,1,8,10000000,0,4,480000,3,2,2.0,220000.0,6
4498,4,2,2,1,1000000,1000000,2,17000,1,1,2.0,0.0,1
2863,2,9,1,6,5787300,0,3,20000,3,2,2.0,0.0,6
4909,2,2,2,1,500000,500000,2,550000,1,2,2.0,0.0,2
3570,9,0,9,8,0,4871324,4,35000,1,2,1.0,0.0,6
2129,10,2,8,8,2000000,1000000,1,500000,3,1,2.0,0.0,6
3078,2,7,1,3,3500000,0,2,0,3,2,2.0,180000.0,4
3443,2,6,1,5,4000000,0,4,0,3,3,2.0,350000.0,6
3326,1,9,9,8,5402150,4423900,4,900000,6,2,2.0,2200000.0,6
3620,9,7,1,8,5000000,0,4,0,4,2,2.0,180000.0,6
1386,5,2,1,8,15000000,0,7,1025000,7,3,2.0,4350000.0,8
1568,5,7,1,8,10000000,0,2,750000,3,2,2.0,714010.0,8
4687,9,5,1,7,4000000,0,1,90000,3,1,2.0,200000.0,3
1701,8,6,1,2,2500000,0,3,0,3,3,2.0,150000.0,3
3678,3,1,1,2,0,1500000,1,0,1,2,2.0,0.0,2
2958,7,9,9,8,7000000,3250000,7,0,6,2,2.0,2050000.0,7
4098,4,5,1,6,6000000,0,3,0,3,2,2.0,145000.0,4
2501,6,6,1,8,18000000,0,8,350000,7,3,2.0,3300000.0,8
2167,10,6,1,6,5000000,0,5,500000,3,3,1.0,200000.0,7
3674,3,6,1,2,2400000,0,1,0,3,4,2.0,186000.0,3
2310,9,6,1,6,4500000,0,4,1425000,4,2,2.0,2000000.0,7
1406,8,6,1,7,6000000,500000,3,100000,4,3,2.0,3500000.0,7
4866,5,1,1,8,5000000,0,1,135000,3,3,2.0,252500.0,4
2172,10,6,1,4,3665258,0,1,100000,3,2,2.0,150000.0,5
2964,7,9,9,8,8296826,6907273,5,140000,6,3,2.0,729300.0,7
3664,9,0,7,8,0,7000000,8,830000,8,4,1.0,3000000.0,8
3320,2,6,1,8,9000000,0,4,350000,3,3,2.0,180000.0,6
2417,6,6,1,8,7350000,0,5,135000,4,4,2.0,2231700.0,8
1715,7,3,1,8,6000000,0,6,350000,5,3,2.0,455000.0,7
2407,8,7,7,5,4000000,1000000,4,120000,4,4,2.0,26000.0,6
1839,7,3,1,3,4000000,0,3,135000,3,4,2.0,250000.0,4
2408,8,6,5,8,15000000,5000000,8,830000,6,5,2.0,1900000.0,8
4311,2,1,8,8,0,2500000,5,135000,3,4,2.0,379300.0,4
1259,8,9,1,7,3769600,0,4,100000,1,2,2.0,0.0,6
1842,7,9,1,6,5000000,0,5,0,4,3,2.0,275000.0,6
3029,1,7,9,8,2000000,5767960,7,0,6,2,2.0,2116300.0,6
4094,7,5,3,3,2000000,1500000,1,90000,4,2,2.0,500000.0,2
2572,2,5,3,2,1000000,1000000,1,80000,3,2,2.0,155100.0,3
2573,2,9,9,8,4126400,3391000,1,133000,3,2,2.0,284600.0,6
4990,6,0,5,1,0,500000,2,70000,1,2,1.0,0.0,1
4630,9,3,1,1,1000000,0,1,75000,1,2,2.0,0.0,1
4096,8,1,1,1,800000,0,4,150000,4,2,2.0,360000.0,2
4096,8,1,1,1,800000,0,4,150000,4,2,2.0,360000.0,2
3888,3,7,9,5,1000000,4875200,4,150000,3,2,2.0,150000.0,6
4329,4,2,1,3,2000000,0,3,125000,4,2,2.0,242900.0,3
2409,8,5,1,8,30000000,0,7,1500000,7,3,2.0,4000000.0,8
2174,10,6,6,8,4559600,3644800,7,150000,6,3,2.0,3125350.0,8
3826,3,5,6,8,2700000,3700000,3,30000,3,2,2.0,225000.0,6
2702,4,5,3,3,1000000,2000000,4,0,3,2,2.0,314.0,3
2833,7,9,9,8,4584600,5501600,7,200000,4,2,2.0,600000.0,6
2502,6,9,9,8,4851900,4020400,5,1740000,4,2,2.0,4350000.0,7
1260,8,0,9,4,0,4200000,1,1140000,4,2,1.0,600000.0,6
1266,8,7,1,6,2500000,0,5,0,4,2,2.0,75000.0,6
1637,8,7,1,8,6500000,0,5,0,3,3,2.0,180000.0,7
3409,2,7,1,6,6000000,0,5,1440000,4,2,2.0,250000.0,6
2412,8,8,1,8,6000000,0,1,175000,7,3,2.0,3250000.0,7
2177,10,9,1,8,9038900,0,4,40000,3,3,2.0,215000.0,7
1853,7,9,9,8,5000000,6000000,6,25000,4,2,2.0,250000.0,6
2103,2,6,6,8,3100000,3100000,1,80000,4,1,2.0,0.0,6
3740,9,3,1,5,5000000,0,8,0,6,4,2.0,1937000.0,7
4536,2,2,1,1,1500000,0,1,0,3,2,2.0,0.0,1
1578,5,7,3,8,6000000,3000000,4,50000,4,3,2.0,1300000.0,8
3087,8,6,6,8,5061327,9489345,7,0,6,3,2.0,2048300.0,8
3660,9,2,1,8,7500000,0,4,450000,3,4,2.0,150000.0,7
4838,8,1,3,1,0,500000,2,0,3,4,1.0,100000.0,2
1277,8,6,6,7,2250000,3000000,4,0,4,2,2.0,2400000.0,7
1236,5,6,1,8,6938500,0,7,25000,3,3,2.0,1700000.0,8
4563,7,5,1,1,2100000,0,1,45000,3,2,2.0,168000.0,1
2020,9,9,9,8,4525200,4054800,7,0,7,4,2.0,2863800.0,8
2978,7,6,1,1,1500000,0,5,0,4,3,2.0,400000.0,3
3932,3,3,1,8,10000000,0,7,30000,7,3,2.0,3700000.0,8
3681,3,2,5,8,6000000,5000000,5,0,6,5,2.0,2850000.0,8
1977,7,5,1,8,20000000,0,7,0,6,4,2.0,2470400.0,8
1391,5,6,1,8,5000000,0,1,550000,3,4,2.0,206000.0,7
3088,8,5,1,3,2068000,0,1,300000,3,5,2.0,300000.0,4
1645,8,8,5,8,5000000,0,8,75000,4,4,2.0,935000.0,7
2108,2,2,6,8,500000,3500000,1,0,3,4,2.0,166000.0,6
3939,3,9,1,4,4500000,0,7,0,6,3,2.0,4500000.0,7
1392,5,6,1,8,7841879,0,8,88500,6,4,2.0,3080000.0,8
2178,10,1,1,6,2500000,0,5,0,4,2,1.0,200000.0,6
1279,8,6,6,8,5646998,3129407,7,0,7,3,2.0,2648000.0,8
1562,7,5,1,8,22000000,0,7,75000,8,4,2.0,6350000.0,8
4548,9,1,1,4,2750000,0,3,0,3,3,2.0,180000.0,3
1580,5,6,9,6,2452300,3455383,7,0,3,3,2.0,2500000.0,7
2185,10,9,9,8,10461845,10000000,8,860000,6,4,2.0,2100000.0,8
1393,5,9,7,8,4436000,500000,4,400000,6,2,2.0,1040000.0,7
3661,9,7,1,1,1800000,0,3,100000,3,1,2.0,150000.0,3
1958,4,2,1,1,1000000,0,4,0,3,1,2.0,250000.0,3
2135,2,7,1,5,5000000,0,3,0,3,2,2.0,1877000.0,6
2422,6,9,1,5,5500000,0,7,0,3,2,2.0,190000.0,6
4667,7,2,1,1,1000000,0,3,20000,3,1,2.0,292000.0,2
1394,5,7,1,7,4000000,0,4,475000,3,2,2.0,235000.0,7
1394,5,7,1,7,4000000,0,4,475000,3,2,2.0,235000.0,7
3139,7,9,7,4,4000000,500000,3,0,6,2,2.0,0.0,5
4619,4,3,1,1,900000,0,3,0,3,1,2.0,0.0,2
1676,8,7,9,8,3000000,4378100,4,300000,3,2,2.0,1849000.0,7
2188,10,7,5,8,3000000,0,3,995000,4,2,2.0,200000.0,7
4553,4,1,1,1,1000000,0,1,30000,3,1,2.0,0.0,1
1979,7,9,9,8,4000000,5000000,5,0,3,3,2.0,919000.0,6
3444,2,2,3,4,3000000,1500000,4,1100000,4,2,2.0,350000.0,5
4201,4,2,2,4,1500000,200000,2,0,4,1,2.0,0.0,3
4915,2,3,1,1,1500000,0,2,0,3,1,2.0,200000.0,2
2142,2,7,1,3,4765800,0,4,550000,4,2,2.0,255000.0,5
2094,4,0,9,6,0,4415300,4,125000,3,3,1.0,200000.0,6
3146,7,6,9,8,4000000,4000000,5,1750000,4,2,2.0,170000.0,7
2189,10,7,9,8,6000000,6000000,5,1200000,6,4,2.0,2620000.0,8
3123,8,0,3,1,0,1500000,3,300000,3,2,1.0,176000.0,3
3706,4,7,7,8,5000000,5000000,6,800000,7,2,2.0,3000000.0,8
3663,9,1,1,1,1900000,0,1,150000,3,2,2.0,130000.0,3
2644,2,6,1,2,3380000,0,3,0,3,2,2.0,200000.0,4
4971,3,1,3,1,0,1000000,1,100000,3,2,2.0,100000.0,2
2649,2,9,9,8,7307300,3437700,7,0,6,1,2.0,3000000.0,7
2423,6,7,1,6,4500000,0,4,800000,3,3,2.0,250000.0,7
1569,7,3,1,1,3000000,0,4,0,6,2,2.0,2660000.0,4
1994,5,9,9,8,6000000,6000000,7,100000,6,3,2.0,1100000.0,8
4169,4,1,1,3,2000000,0,1,275000,3,2,2.0,363000.0,3
1301,8,9,1,8,6178600,0,3,415000,3,2,2.0,250000.0,7
2191,10,7,1,4,2500000,0,5,100000,4,3,2.0,0.0,5
2192,10,6,9,6,3500000,4000000,5,600000,4,3,2.0,250000.0,7
1693,8,9,9,8,7220600,3423900,6,285000,3,2,2.0,250000.0,8
1239,5,0,9,5,0,3975400,4,0,3,2,1.0,0.0,6
1981,7,5,1,8,16000000,0,8,450000,3,4,2.0,3080000.0,8
1305,8,6,1,7,4000000,0,5,300000,3,2,2.0,160000.0,6
1307,8,5,1,8,9800000,0,7,200000,7,3,2.0,2687750.0,8
4911,5,1,1,2,0,1200000,1,100000,1,2,2.0,0.0,1
4545,2,2,1,1,1000000,0,2,0,3,2,2.0,0.0,2
2144,2,6,9,8,0,5147800,7,0,3,3,2.0,2500000.0,6
2231,2,7,1,2,2500000,0,2,0,4,2,2.0,0.0,3
3798,3,1,9,3,0,3729700,5,450000,3,4,2.0,210500.0,3
