id,fakultas,pekerjaan_ayah,pekerjaan_ibu,pendapatan_class,penghasilan_ayah,penghasilan_ibu,kepemilikan_rumah,koreksi_pengeluaran_mhs_iuran_sekolah,kendaraan,listrik,keberadaan_orangtua,pajak,ukt
3146,7,6,9,8,4000000,4000000,5,1750000,4,2,2.0,170000.0,7
4208,1,0,3,2,0,650000,3,0,1,1,1.0,0.0,1
4890,8,1,1,1,1000000,0,2,100000,5,1,2.0,0.0,2
3949,3,6,1,8,22000000,0,7,500000,5,4,2.0,2007000.0,8
1485,5,3,1,4,2500000,0,4,0,3,2,2.0,1300000.0,6
3016,1,7,9,8,1500000,5145500,7,800000,3,2,2.0,224000.0,6
1979,7,9,9,8,4000000,5000000,5,0,3,3,2.0,919000.0,6
4231,5,0,1,1,0,750000,1,0,1,3,1.0,0.0,1
1592,7,3,1,8,5000000,0,7,0,4,1,2.0,400000.0,6
1569,7,3,1,1,3000000,0,4,0,6,2,2.0,2660000.0,4
1672,7,2,1,8,3000000,0,3,588000,7,2,2.0,4447000.0,7
4193,7,1,3,1,0,950000,4,0,4,2,2.0,2150000.0,2
1300,5,7,1,8,15000000,0,7,700000,7,2,2.0,4000000.0,8
4791,2,2,3,1,1000000,500000,4,0,1,2,2.0,0.0,2
3579,10,9,9,8,6025600,3710700,6,1200000,6,4,2.0,4548875.0,8
