id,fakultas,pekerjaan_ayah,pekerjaan_ibu,pendapatan_class,penghasilan_ayah,penghasilan_ibu,kepemilikan_rumah,koreksi_pengeluaran_mhs_iuran_sekolah,kendaraan,listrik,keberadaan_orangtua,pajak,ukt
4098,4,5,1,6,6000000,0,3,0,3,2,2.0,145000.0,4
1406,8,6,1,7,6000000,500000,3,100000,4,3,2.0,3500000.0,7
1637,8,7,1,8,6500000,0,5,0,3,3,2.0,180000.0,7
3097,2,7,3,8,7000000,1000000,4,80000,4,2,2.0,3500000.0,6
1766,5,7,1,4,2600000,0,3,577500,3,2,2.0,190000.0,6
3836,9,9,9,8,8392700,9897800,7,450000,6,3,2.0,3150000.0,8
2698,4,1,5,6,1500000,1000000,3,0,3,2,2.0,128500.0,6
3164,2,5,9,8,2223000,3825900,1,275000,1,4,2.0,0.0,6
2930,9,1,9,8,0,5000000,4,0,3,2,2.0,223000.0,6
1125,3,5,1,8,40000000,0,8,1400000,7,4,2.0,2375000.0,8
379,5,7,1,8,2000000,0,3,500000,3,1,2.0,1650000.0,7
821,2,7,1,7,4000000,0,4,0,4,4,2.0,485000.0,6
821,2,7,1,7,4000000,0,4,0,4,4,2.0,485000.0,6
4112,4,2,1,3,2000000,0,4,0,4,2,2.0,150000.0,2
1995,7,0,1,5,2000000,0,7,300000,3,3,1.0,156000.0,5
4322,4,1,1,1,1500000,0,1,250000,1,1,2.0,0.0,1
