no_test,x,id,fakultas,pekerjaan_ayah,pekerjaan_ibu,pendapatan_class,penghasilan_ayah,penghasilan_ibu,kepemilikan_rumah,koreksi_pengeluaran_mhs_iuran_sekolah,kendaraan,sekolah,listrik,keberadaan_orangtua,pajak,ukt_rev
423580038,1600000,104,5,5,1,7,2770000,0,1,400000,4,4,2,2.0,375000.0,5
231330020022,7125000,2310,9,6,1,6,4500000,0,4,1425000,4,5,2,2.0,2000000.0,6
231710120755,200000,3156,2,7,9,8,2000000,5400000,7,100000,7,2,4,2.0,3190000.0,7
423159785,340000,4404,7,2,1,1,1300000,0,4,85000,4,4,2,2.0,228625.0,1
423171294,501000,4068,1,1,5,2,0,1000000,3,167000,1,3,2,2.0,0.0,0
231710090261,0,3048,2,1,6,8,1500000,3900000,1,0,1,1,1,2.0,0.0,1
231710140802,1200,2213,8,9,1,4,3657600,0,3,300,4,4,2,2.0,180.0,5
423217388,150000,4073,9,2,1,1,900000,0,2,75000,3,2,2,2.0,0.0,0
423001477,140000,4416,4,1,0,3,2750000,0,3,70000,4,2,2,1.0,0.0,2
423016933,0,4423,4,2,1,1,1000000,0,3,0,3,4,1,2.0,108000.0,1
231920050484,555000,2965,1,9,9,8,6463200,5526000,4,185000,5,3,5,2.0,900000.0,5
231710131260,225000,3494,8,1,1,1,1500000,0,1,75000,3,3,2,2.0,200000.0,1
231710020260,1200000,3120,1,1,3,4,0,3500000,1,300000,4,4,2,1.0,300000.0,2
423107651,450000,359,4,9,9,8,4456300,3223500,7,150000,7,3,3,2.0,2800000.0,7
423399028,500000,754,4,6,9,8,1500000,4603500,1,125000,3,4,2,2.0,1898888.0,6
231710040189,1800000,3455,2,6,1,8,20000000,0,8,450000,6,4,5,2.0,3000000.0,7
231710230791,50000,4870,2,1,1,2,1000000,0,2,50000,4,1,2,2.0,155000.0,1
423134063,120000,21,10,6,1,2,3000000,0,5,60000,3,2,2,2.0,165000.0,3
423454969,1200000,86,5,8,9,8,4000000,4000000,5,300000,5,4,2,2.0,2300000.0,7
423618665,0,4381,2,3,1,1,1000000,0,1,0,1,1,1,2.0,0.0,0
231710210744,1200000,3908,3,6,1,8,9880234,0,1,300000,3,4,3,2.0,517500.0,7
423677234,160000,4063,9,7,1,1,1000000,0,4,80000,1,2,2,2.0,0.0,0
231710041171,2200000,1365,8,9,9,8,6077900,1658395,7,550000,6,4,3,2.0,1765250.0,7
423547321,0,799,2,1,1,3,2000000,0,4,0,3,2,2,2.0,0.0,2
423203768,0,4806,3,2,2,1,500000,500000,1,0,3,1,1,2.0,240000.0,0
231710031345,2750000,3036,1,6,1,8,5800000,0,5,550000,3,5,4,2.0,242500.0,6
233111110433,800000,4693,1,6,0,8,7620620,0,7,200000,4,4,3,1.0,200000.0,5
231710071226,0,4964,3,2,3,1,1000000,500000,2,0,1,1,2,2.0,0.0,0
231210110939,2850000,3230,1,8,1,1,1500000,0,4,570000,4,5,1,2.0,200000.0,2
231710050269,0,1212,4,7,1,2,1000000,0,4,0,3,3,2,2.0,300000.0,2
231710060092,1800000,2559,7,7,1,8,12000000,0,7,450000,6,4,2,2.0,2160000.0,7
231710030671,1400000,3821,3,5,9,8,4500000,12165537,8,350000,8,4,4,2.0,3500000.0,7
231710030276,0,3226,2,3,1,2,4000000,0,6,0,4,3,3,2.0,3247000.0,5
423457129,0,529,2,2,1,2,1500000,0,2,0,3,1,1,2.0,0.0,1
423313940,1800000,336,4,6,9,8,4487690,4610900,4,450000,3,4,2,2.0,2657500.0,7
231710250166,200000,3219,1,3,1,1,2000000,0,4,100000,3,2,2,2.0,170000.0,1
423333197,450000,4807,3,1,1,2,2500000,0,5,150000,3,3,2,2.0,1700000.0,1
231710020152,2600000,3679,10,9,1,8,4474000,0,4,520000,3,5,3,2.0,1550000.0,6
231710210122,0,2785,7,5,9,8,27000000,3500000,7,0,3,4,3,2.0,2000000.0,7
231710040646,170000,2070,9,1,9,6,0,5000000,7,85000,3,2,3,2.0,1700000.0,6
231710090664,600000,3702,3,5,1,2,2000000,0,1,200000,3,3,4,2.0,123000.0,2
231710010536,1200000,2692,4,7,9,8,4800000,5103900,7,300000,4,4,3,2.0,4250000.0,7
423311826,1800000,1078,7,2,1,2,2800000,0,1,450000,3,4,2,2.0,130000.0,2
231710190263,0,4616,9,1,1,1,2000000,0,2,0,3,1,1,2.0,191000.0,0
231710070317,450000,1261,5,6,1,8,4800000,0,1,150000,3,3,3,1.0,474000.0,6
231710060439,1000000,4600,7,0,3,2,0,3000000,4,250000,3,4,1,1.0,300000.0,2
231610030320,0,1958,4,2,1,1,1000000,0,4,0,3,2,1,2.0,250000.0,2
231210061429,41000,1590,10,9,7,8,6950700,3000000,5,41000,3,1,3,2.0,1600000.0,7
423353999,0,926,4,2,1,3,1500000,0,3,0,3,2,1,2.0,250000.0,2
423431413,1080000,635,9,6,5,4,2500000,1200000,7,270000,3,4,3,2.0,3350000.0,6
423123409,0,4747,9,7,1,6,2500000,0,7,0,4,1,2,2.0,356500.0,4
231710090138,0,3944,3,7,1,7,4000000,0,6,0,3,1,3,2.0,170000.0,5
231210041231,5000000,1248,8,6,5,8,15000000,0,7,1000000,8,5,4,2.0,4500000.0,7
