id,fakultas,pekerjaan_ayah,pekerjaan_ibu,pendapatan_class,penghasilan_ayah,penghasilan_ibu,kepemilikan_rumah,koreksi_pengeluaran_mhs_iuran_sekolah,kendaraan,listrik,keberadaan_orangtua,pajak,ukt
1368,8,5,1,8,14000000,0,7,100000,4,3,2.0,1576500.0,8
657,9,6,9,8,4074000,4603500,5,208000,4,2,2.0,375000.0,6
3617,10,6,6,8,3500000,0,5,60000,3,2,1.0,170000.0,6
4546,2,2,1,3,700000,0,3,0,3,1,2.0,2000000.0,2
1809,7,9,9,8,4849800,3767100,4,450000,6,2,2.0,2245100.0,7
614,2,6,6,8,4200000,1200000,6,0,4,2,2.0,355000.0,6
4904,5,7,1,1,1500000,0,2,0,3,1,2.0,209000.0,2
24,10,6,1,8,10000000,0,8,1500000,8,4,2.0,3700000.0,8
4807,3,1,1,2,2500000,0,5,150000,3,2,2.0,1700000.0,2
1696,8,5,1,8,30000000,0,7,200000,5,4,2.0,5850000.0,8
1880,7,5,1,8,17300000,0,7,450000,7,3,2.0,4700000.0,8
2886,2,9,5,5,4000000,0,3,0,3,2,2.0,170000.0,6
4418,4,2,1,1,1000000,0,3,125000,3,2,2.0,145000.0,2
2631,4,9,9,8,4500000,3000000,1,450000,3,3,2.0,1280000.0,7
4995,10,1,1,2,500000,0,5,50000,4,1,2.0,0.0,2
4869,8,7,1,2,2500000,0,1,200000,3,2,2.0,130000.0,2
2255,2,6,1,3,1500000,0,3,0,3,2,2.0,200000.0,3
1109,3,3,1,8,45000000,0,8,500000,8,5,2.0,5800000.0,8
4542,7,1,1,1,1000000,0,1,150000,4,2,2.0,168500.0,2
4774,4,2,1,1,1500000,0,3,0,3,2,2.0,0.0,2
545,9,6,1,8,12000000,0,2,30000,6,5,2.0,2580000.0,8
1307,8,5,1,8,9800000,0,7,200000,7,3,2.0,2687750.0,8
4825,6,7,1,1,900000,0,1,125000,3,2,2.0,0.0,2
1390,8,5,9,8,17516181,5813900,8,445000,8,4,2.0,7600000.0,8
4111,2,6,1,2,2000000,0,1,150000,3,2,2.0,1025000.0,2
4761,9,2,1,1,1300000,0,3,0,3,2,2.0,0.0,2
2777,4,9,9,8,9000000,6000000,6,0,8,3,2.0,5100000.0,8
2797,4,2,1,2,3000000,0,2,0,3,2,2.0,300000.0,3
1740,7,7,9,8,6000000,4000000,7,450000,3,3,2.0,3337600.0,7
3531,7,6,9,8,4188556,5611238,4,0,4,2,2.0,450000.0,6
1662,8,9,1,7,5287400,0,5,0,3,3,2.0,1450000.0,7
4116,2,2,1,1,750000,0,2,0,3,2,2.0,0.0,2
3737,9,1,6,8,0,3100000,5,300000,3,1,2.0,0.0,6
4365,2,1,1,1,1000000,0,1,200000,3,3,2.0,250000.0,2
1752,4,9,9,8,7500000,4500000,6,250000,6,2,2.0,2200000.0,8
2362,10,5,1,8,17000000,0,6,450000,6,4,2.0,2930000.0,8
73,10,5,1,8,30267200,0,8,450000,7,4,2.0,8199000.0,8
1087,7,6,1,8,33000000,0,8,0,7,5,2.0,3821500.0,8
380,5,5,9,8,13761860,4601072,7,0,8,4,2.0,3500000.0,8
1451,8,7,1,8,6000000,0,7,100000,3,4,2.0,2200000.0,8
732,2,0,5,8,0,1500000,7,450000,1,3,1.0,0.0,6
2227,8,9,9,8,4066100,4632600,2,0,3,3,2.0,2700000.0,7
2682,2,5,1,8,80000000,0,8,450000,8,4,2.0,6317000.0,8
3373,10,9,9,8,15000000,9000000,7,0,8,5,2.0,10000000.0,8
2704,6,9,1,8,30000000,0,7,150000,3,3,2.0,2200000.0,8
4496,10,3,1,2,1500000,0,2,200,2,2,2.0,0.0,2
3482,8,8,9,8,10000000,5204000,8,575000,8,4,2.0,5150000.0,8
4489,8,1,1,1,1500000,0,2,80000,3,1,2.0,120000.0,2
4646,9,2,1,1,1500000,0,3,0,4,2,2.0,0.0,2
1495,5,9,6,8,7859400,4500000,5,450000,6,3,2.0,2053000.0,8
1952,4,9,1,8,8500000,0,5,60000,4,3,2.0,400000.0,8
4202,4,2,1,1,1000000,0,2,0,3,1,2.0,140000.0,2
3277,2,7,1,8,10000000,0,6,550000,6,4,2.0,5000000.0,8
4567,9,2,1,1,1400000,0,2,0,4,2,2.0,0.0,2
2836,1,9,9,8,5834600,5579800,7,450000,6,5,2.0,2731500.0,7
4247,8,1,1,2,1800000,0,1,0,3,2,2.0,300000.0,2
703,4,7,1,8,20000000,0,7,1375000,4,2,2.0,3300000.0,8
1124,3,7,1,5,5000000,0,4,445000,3,2,2.0,435000.0,6
1742,7,6,1,8,19970133,0,7,450000,6,4,2.0,2460250.0,8
1224,4,6,1,8,5799850,0,4,0,3,2,2.0,357000.0,7
2144,2,6,9,8,0,5147800,7,0,3,3,2.0,2500000.0,6
2501,6,6,1,8,18000000,0,8,350000,7,3,2.0,3300000.0,8
2223,10,9,9,8,8008100,3400000,8,550000,8,5,2.0,3700000.0,8
2837,2,7,9,8,2500000,4745000,7,0,3,2,2.0,300000.0,6
1869,7,5,1,8,7500000,0,7,995000,3,5,2.0,3100000.0,8
1834,4,9,9,7,5360000,3483000,3,100000,6,1,2.0,2100000.0,7
3826,3,5,6,8,2700000,3700000,3,30000,3,2,2.0,225000.0,6
207,8,7,1,8,15000000,0,3,260000,3,1,2.0,600000.0,8
1443,8,9,8,8,5539600,1000000,4,0,3,2,2.0,140000.0,7
3963,3,6,9,8,19000000,4000000,7,500000,8,4,2.0,5000000.0,8
4706,9,2,1,1,1500000,0,2,55000,3,2,2.0,180000.0,2
3932,3,3,1,8,10000000,0,7,30000,7,3,2.0,3700000.0,8
1244,5,9,6,8,10000000,0,7,500000,8,3,2.0,2200000.0,8
4989,6,6,1,3,3200000,0,1,70000,3,2,2.0,213500.0,2
1752,4,9,9,8,7500000,4500000,6,250000,6,2,2.0,2200000.0,8
4873,5,1,1,8,3000000,0,2,0,3,1,2.0,300000.0,4
4124,2,1,1,2,0,1500000,1,200000,3,1,2.0,0.0,2
1778,7,9,1,8,12600000,0,7,550000,8,5,2.0,3665250.0,8
1133,7,6,5,8,43815000,0,8,450000,8,5,2.0,5180000.0,8
4409,7,6,1,3,2000000,0,1,30000,3,1,2.0,500000.0,2
1910,4,7,1,8,10000000,0,7,300000,6,3,2.0,1200000.0,8
3092,2,5,9,8,500000,3741800,5,500000,3,2,2.0,150000.0,6
2740,6,6,6,8,4000000,7926804,6,100000,3,3,2.0,459000.0,6
1961,7,9,1,8,34000000,0,8,0,6,5,2.0,1453000.0,8
1608,8,6,1,8,13000000,0,5,450000,3,3,2.0,3300000.0,8
1805,5,3,1,8,8000000,0,5,250000,4,2,2.0,258000.0,8
4013,9,5,1,8,18000000,0,7,450000,7,4,2.0,3300000.0,8
1802,7,9,9,8,23804219,30345242,8,1445000,7,4,2.0,3630000.0,8
3344,10,9,9,8,12704444,6724651,8,500000,7,5,2.0,3226000.0,8
1991,7,6,1,8,20000000,0,7,400000,4,4,2.0,3200000.0,8
4272,8,1,8,6,1500000,2000000,1,450000,3,2,2.0,240000.0,4
1377,8,7,1,8,17050000,0,7,400000,6,5,2.0,4000000.0,8
2457,6,9,9,8,5000000,3000000,5,550000,3,2,2.0,1150000.0,7
3857,3,5,9,8,3000000,9000000,1,0,4,2,2.0,500000.0,6
4991,6,2,1,1,1000000,0,2,0,3,2,2.0,190000.0,2
650,9,6,1,8,5000000,0,1,1200000,6,5,2.0,2000000.0,7
33,10,9,1,8,5426000,0,4,0,3,2,2.0,250000.0,7
4513,4,1,1,3,2000000,0,2,0,3,2,2.0,300000.0,2
4552,7,1,1,1,2000000,0,3,0,3,2,2.0,235000.0,2
1462,4,9,1,4,5174800,0,7,60000,3,4,2.0,2525300.0,7
665,9,9,1,8,5748400,0,4,550000,5,2,2.0,250000.0,7
1416,5,5,1,8,17743560,0,8,300000,7,5,2.0,4600000.0,8
1891,5,6,6,8,12812500,0,8,1150000,3,3,2.0,248500.0,8
1243,5,9,1,8,19022402,0,1,1750000,4,3,2.0,400000.0,8
1709,7,0,9,8,0,4410000,7,0,4,2,1.0,180000.0,6
2010,5,9,1,8,7589300,0,5,0,8,3,2.0,1750000.0,8
3953,3,5,1,8,31814471,0,7,200000,6,4,2.0,2200000.0,8
826,4,6,1,8,10000000,0,7,450000,4,4,2.0,250000.0,8
4979,4,1,1,2,2000000,0,1,0,3,2,2.0,0.0,2
4037,10,9,5,8,10000000,10000000,7,500000,3,5,2.0,3500000.0,8
2368,8,6,8,8,14356761,5000000,4,75000,3,3,2.0,1952500.0,8
4105,3,8,1,2,1500000,0,2,0,3,3,2.0,100000.0,2
1963,7,9,1,8,34400000,0,7,0,6,4,2.0,2750000.0,8
1799,5,9,1,8,7500000,0,7,400000,3,3,2.0,529000.0,8
1504,5,5,1,8,20000000,3000000,8,1500000,7,4,2.0,3000000.0,8
851,4,9,1,5,4000000,0,4,0,3,3,2.0,2008000.0,7
56,10,7,1,8,8000000,0,7,1200000,6,5,2.0,3000000.0,8
1379,8,9,6,8,12273200,2000000,4,1125000,6,3,2.0,1000000.0,8
1121,3,6,1,8,22700000,0,7,0,8,5,2.0,5200000.0,8
1713,7,9,1,8,15700000,0,7,600000,3,3,2.0,2550000.0,8
3421,2,6,1,1,1000000,0,2,0,3,2,2.0,0.0,2
4734,2,6,1,8,4500000,0,2,500000,3,2,2.0,2250000.0,5
1562,7,5,1,8,22000000,0,7,75000,8,4,2.0,6350000.0,8
