no_test,id,fakultas,pekerjaan_ayah,pekerjaan_ibu,pendapatan_class,penghasilan_ayah,penghasilan_ibu,kepemilikan_rumah,koreksi_pengeluaran_mhs_iuran_sekolah,kendaraan,sekolah,listrik,keberadaan_orangtua,pajak,ukt_rev
231210010456,1385,5,6,1,1,1900000,0,3,60000,1,2,2,2.0,0.0,3
231210040200,3183,2,7,2,5,1500000,500000,1,0,3,1,2,2.0,150000.0,3
231210040249,2069,2,0,8,1,0,2500000,4,25000,3,1,2,1.0,400000.0,3
231210040380,4512,2,2,2,1,1500000,500000,2,120000,1,3,1,2.0,0.0,1
231210040384,1584,10,7,2,5,3000000,1000000,3,745000,3,5,2,2.0,700000.0,6
231210041231,1248,8,6,5,8,15000000,0,7,1000000,8,5,4,2.0,4500000.0,8
231210041480,3652,9,7,9,8,0,4179300,7,160000,4,3,3,2.0,250000.0,7
231210060034,4899,8,7,0,1,1000000,0,3,45000,3,1,2,1.0,216000.0,2
231210060809,2397,8,7,7,4,3000000,2000000,5,545000,3,5,2,2.0,200000.0,7
231210061429,1590,10,9,7,8,6950700,3000000,5,41000,3,1,3,2.0,1600000.0,8
231210071306,4945,8,7,5,1,1500000,500000,1,0,3,1,1,2.0,0.0,1
231210071361,2766,2,6,1,8,11611583,0,8,150000,4,3,4,2.0,800000.0,8
231210080089,4796,2,2,2,2,2500000,500000,2,60000,3,2,1,2.0,300000.0,2
231210080531,4867,4,2,2,1,1500000,200000,1,60000,3,1,1,2.0,0.0,1
231210080945,2498,6,0,3,2,0,1500000,1,75000,1,3,1,1.0,0.0,2
231210081482,3315,2,6,9,7,3000000,4000000,4,408,3,4,3,2.0,500.0,6
231210090023,2568,2,2,1,2,2800000,0,2,300000,3,4,2,2.0,0.0,3
231210090031,4704,2,7,0,8,1500000,0,1,0,3,1,2,1.0,224000.0,3
231210091178,3072,2,1,9,4,0,4600000,3,0,3,1,2,2.0,250000.0,5
231210110939,3230,1,8,1,1,1500000,0,4,570000,4,5,1,2.0,200000.0,3
231210111458,4841,5,5,3,5,0,2000000,3,70000,3,2,1,1.0,0.0,3
231210111476,2399,8,2,3,3,2000000,100000,1,30,3,1,2,2.0,250000.0,2
231210111568,1602,10,7,6,8,2500000,4703543,1,500000,3,4,3,2.0,300000.0,7
231210121042,2400,8,2,3,6,3000000,2000000,4,26000,3,1,2,2.0,3100000.0,7
231210121114,3654,10,2,9,4,1000000,5000000,3,330000,3,3,2,2.0,222337.0,6
231210150303,4712,2,8,1,1,2500000,0,2,150000,3,3,1,2.0,0.0,2
231210150675,2413,6,9,1,3,5468600,0,1,50000,3,1,2,2.0,0.0,6
231210151230,2401,8,6,1,4,4088000,0,5,90000,3,2,3,2.0,0.0,5
231210160126,2637,2,6,1,8,5000000,0,5,70000,3,2,3,2.0,200000.0,6
231210171288,2639,2,8,1,8,4000000,0,1,35000,3,1,2,2.0,50000.0,6
231210180246,2079,2,9,9,8,5000000,3000000,5,0,3,2,2,2.0,350000.0,6
231210190101,2082,2,5,1,4,3674000,0,1,70000,3,2,2,2.0,340000.0,4
231210190653,4081,2,2,2,5,2000000,2000000,1,50000,3,2,1,2.0,0.0,3
231210190868,2402,8,7,1,3,2700000,0,4,150000,3,3,2,2.0,230000.0,4
231210191174,3187,2,7,9,8,3236600,4434400,4,15000,4,4,2,2.0,518250.0,6
231210191407,2403,8,6,1,8,10922337,0,5,700000,3,5,4,2.0,73000.0,8
231210200442,2404,8,6,1,8,14334533,0,8,250000,3,4,3,2.0,219000.0,8
231210200560,3317,2,9,1,6,6224300,0,4,150000,3,3,1,2.0,400000.0,6
231210201379,4843,5,2,1,1,750000,0,2,50000,1,2,1,2.0,0.0,1
231210220119,1629,8,6,9,8,5000000,5500000,3,55000,6,2,3,2.0,2000000.0,8
231210220172,1566,5,2,1,3,4500000,0,3,400000,4,4,1,2.0,2000000.0,6
231210220845,2770,2,7,1,8,4500000,0,3,295000,3,4,2,2.0,210000.0,6
231210230010,4581,9,2,1,1,1500000,0,1,0,4,1,1,2.0,0.0,1
231210230270,3658,9,2,2,3,3500000,750000,2,210000,3,4,1,2.0,300000.0,4
231210240741,1653,10,5,5,4,500000,2010000,3,70000,3,2,2,2.0,175000.0,6
231210241013,3193,2,2,1,2,3000000,0,2,310000,3,4,1,2.0,72000.0,3
231210250267,4584,9,2,2,1,700000,700000,2,30000,2,1,1,2.0,0.0,1
231210260107,4670,1,2,2,2,2000000,500000,1,0,3,1,2,2.0,300000.0,2
231210260305,2309,9,7,7,6,3500000,1500000,1,250000,1,4,2,2.0,0.0,4
231210261597,4032,6,6,1,3,3200000,0,4,70000,1,2,1,2.0,0.0,2
231220020723,4836,8,1,1,1,1500000,0,2,140000,3,3,2,2.0,0.0,2
231220021122,4586,9,1,1,2,1500000,0,2,35000,3,1,2,2.0,0.0,2
231220050907,4078,8,1,1,1,1500000,0,1,50000,3,4,1,2.0,224000.0,2
231220100005,2415,6,9,9,8,6088800,3735700,5,100000,1,1,2,2.0,253750.0,8
231220100362,3808,3,6,1,2,3171382,0,3,20000,3,1,3,2.0,125000.0,3
231220120438,2571,2,6,1,8,10000000,0,4,480000,3,4,2,2.0,220000.0,6
231220120482,4498,4,2,2,1,1000000,1000000,2,17000,1,1,1,2.0,0.0,1
231220121414,2863,2,9,1,6,5787300,0,3,20000,3,1,2,2.0,0.0,6
231220130201,4909,2,2,2,1,500000,500000,2,550000,1,5,2,2.0,0.0,2
