id,prodi,keberadaan ayah,keberadaan ibu,pekerjaan ayah,pekerjaan ibu,jumlah tanggungan,penghasilan ayah,penghasilan ibu,kepemilikan rumah,iuran sekolah,kendaraan,listrik,pajak mobil,pajak motor,ukt
1385,Manajemen,1.0,1,Karyawan Swasta,Tidak Bekerja,4,1900000,0,3,60000,1,2,0.0,0,3
3069,Agroekoteknologi,1.0,1,Pedagang Kecil,PNS / TNI / Polri,5,700000,4024400,3,70000,1,2,0.0,0,5
1564,Ekonomi Pembangunan,1.0,1,Wiraswasta,Tidak Bekerja,6,1500000,0,1,240000,3,1,0.0,225000,4
2069,Agribisnis,0.0,1,Sudah Meninggal,Wirausaha,6,0,2500000,4,25000,3,2,0.0,400000,3
4512,Peternakan,1.0,1,Petani,Petani,10,1500000,500000,2,120000,1,1,0.0,0,1
1584,Ilmu Hukum,1.0,1,Wiraswasta,Petani,4,3000000,1000000,3,745000,3,2,0.0,700000,6
1248,Ilmu Komunikasi,1.0,1,Karyawan Swasta,Lainnya,1,15000000,0,7,1000000,8,4,4000000.0,500000,8
4899,Ilmu Komunikasi,1.0,0,Wiraswasta,Sudah Meninggal,5,1000000,0,3,45000,3,2,0.0,216000,2
1590,Ilmu Hukum,1.0,1,PNS / TNI / Polri,Wiraswasta,3,6950700,3000000,5,41000,3,3,1200000.0,400000,8
4945,ILMU HUBUNGAN INTERNASIONAL,1.0,1,Wiraswasta,Lainnya,6,1500000,500000,1,0,3,1,0.0,0,1
4796,Teknologi Hasil Pertanian,1.0,1,Petani,Petani,6,2500000,500000,2,60000,3,1,0.0,300000,2
4867,Pendidikan Fisika,1.0,1,Petani,Petani,5,1500000,200000,1,60000,3,1,0.0,0,1
3315,Agronomi,1.0,1,Pensiunan,PNS / TNI / Polri,5,3000000,4000000,4,408,3,3,0.0,500,6
3072,Agroekoteknologi,1.0,1,Tidak Bekerja,PNS / TNI / Polri,5,0,4600000,3,0,3,2,0.0,250000,5
4982,Ilmu Kesehatan Masyarakat,1.0,1,Wiraswasta,Tidak Bekerja,4,2000000,0,1,60000,1,2,0.0,0,1
1252,Ilmu Komunikasi,1.0,1,Wiraswasta,Wiraswasta,2,6000000,4000000,1,410000,7,2,36000000.0,0,7
4841,Ekonomi Pembangunan,0.0,1,Lainnya,Pedagang Kecil,2,0,2000000,3,70000,3,1,0.0,0,3
1602,Ilmu Hukum,1.0,1,Wiraswasta,Karyawan Swasta,1,2500000,4703543,1,500000,3,3,0.0,300000,7
2400,ILMU HUBUNGAN INTERNASIONAL,1.0,1,Petani,Pedagang Kecil,4,3000000,2000000,4,26000,3,2,2800000.0,300000,7
4712,Agribisnis,1.0,1,Wirausaha,Tidak Bekerja,7,2500000,0,2,150000,3,1,0.0,0,2
2401,ILMU HUBUNGAN INTERNASIONAL,1.0,1,Pensiunan,Tidak Bekerja,5,4088000,0,5,90000,3,3,0.0,0,5
2637,Teknik Pertanian,1.0,1,Karyawan Swasta,Tidak Bekerja,3,5000000,0,5,70000,3,3,0.0,200000,6
3026,Pendidikan Dokter Gigi,1.0,1,PNS / TNI / Polri,PNS / TNI / Polri,2,8000000,8000000,7,0,6,4,3000000.0,500000,7
3316,Agronomi,1.0,1,Wiraswasta,Tidak Bekerja,3,6000000,0,5,75000,3,3,0.0,284000,6
1993,Manajemen,1.0,1,Pedagang Kecil,Pedagang Kecil,6,1000000,500000,1,70000,3,1,0.0,434000,3
2639,Teknik Pertanian,1.0,1,Wirausaha,Tidak Bekerja,2,4000000,0,1,35000,3,2,0.0,50000,6
2079,Agribisnis,1.0,1,PNS / TNI / Polri,PNS / TNI / Polri,1,5000000,3000000,5,0,3,2,0.0,350000,6
4081,Agribisnis,1.0,1,Petani,Petani,4,2000000,2000000,1,50000,3,1,0.0,0,3
2402,ILMU HUBUNGAN INTERNASIONAL,1.0,1,Wiraswasta,Tidak Bekerja,4,2700000,0,4,150000,3,2,0.0,230000,4
3187,Peternakan,1.0,1,Wiraswasta,PNS / TNI / Polri,4,3236600,4434400,4,15000,4,2,0.0,518250,6
2403,ILMU HUBUNGAN INTERNASIONAL,1.0,1,Karyawan Swasta,Tidak Bekerja,4,10922337,0,5,700000,3,4,0.0,73000,8
2404,ILMU HUBUNGAN INTERNASIONAL,1.0,1,Karyawan Swasta,Tidak Bekerja,3,14334533,0,8,250000,3,3,0.0,219000,8
3317,Agronomi,1.0,1,PNS / TNI / Polri,Tidak Bekerja,5,6224300,0,4,150000,3,1,0.0,400000,6
4843,Ekonomi Pembangunan,1.0,1,Petani,Tidak Bekerja,6,750000,0,2,50000,1,1,0.0,0,1
4087,Matematika,1.0,1,Wiraswasta,Tidak Bekerja,6,1500000,0,1,100000,1,2,0.0,0,1
1629,Ilmu Administrasi Publik,1.0,1,Karyawan Swasta,PNS / TNI / Polri,3,5000000,5500000,3,55000,6,3,1800000.0,200000,8
3657,Ilmu Kelautan,1.0,1,Petani,Tidak Bekerja,5,3000000,0,2,0,3,2,0.0,150000,4
2770,Budidaya Perairan,1.0,1,Wiraswasta,Tidak Bekerja,2,4500000,0,3,295000,3,2,0.0,210000,6
4854,Ekonomi Pembangunan,1.0,1,Wiraswasta,Wiraswasta,3,2000000,2000000,3,90000,3,2,0.0,600000,4
4581,Fisika,1.0,1,Petani,Tidak Bekerja,4,1500000,0,1,0,4,1,0.0,0,1
3658,Ilmu Kelautan,1.0,1,Petani,Petani,6,3500000,750000,2,210000,3,1,0.0,300000,4
2083,Agribisnis,1.0,1,Wiraswasta,Tidak Bekerja,5,10000000,0,1,830000,3,3,0.0,231000,6
3193,Peternakan,1.0,1,Petani,Tidak Bekerja,5,3000000,0,2,310000,3,1,0.0,72000,3
3323,Pendidikan Dokter,1.0,1,PNS / TNI / Polri,PNS / TNI / Polri,3,4509700,3901500,7,90000,6,3,2329626.0,0,6
4670,Pendidikan Dokter,1.0,1,Petani,Petani,5,2000000,500000,1,0,3,2,0.0,300000,2
2085,Agribisnis,1.0,1,Petani,Tidak Bekerja,6,4200000,0,3,225000,3,3,0.0,164000,5
4836,Sosiologi,1.0,1,Buruh,Tidak Bekerja,4,1500000,0,2,140000,3,2,0.0,0,2
4586,Fisika,1.0,1,Buruh,Tidak Bekerja,3,1500000,0,2,35000,3,2,0.0,0,2
3666,Sistem Informasi,1.0,1,Karyawan Swasta,Tidak Bekerja,3,4350000,0,1,190000,4,4,0.0,750750,6
1809,Teknik Pertambangan,1.0,1,PNS / TNI / Polri,PNS / TNI / Polri,4,4849800,3767100,4,450000,6,2,2245100.0,0,7
