no_test,fakultas,pekerjaan_ayah,pekerjaan_ibu,penghasilan_ayah,penghasilan_ibu,total_pendapatan,pendapatan_class,jumlah_tanggungan,kepemilikan_rumah,kendaraan,sekolah,listrik,Penghasilan perkapita,ukt
423694251,3,7.0,1.0,1500000.0,0.0,8,1,5.0,1,3,4.0,1,1,2.0
423691309,7,9.0,1.0,2000000.0,0.0,8,1,5.0,2,3,1.0,2,1,2.0
423688129,3,7.0,1.0,1500000.0,0.0,8,1,6.0,2,3,1.0,1,1,2.0
423686416,7,14.0,5.0,0.0,4476200.0,8,6,4.0,2,3,1.0,3,6,3.0
423685541,5,11.0,1.0,2000000.0,0.0,8,1,5.0,1,3,1.0,2,1,2.0
423684779,7,6.0,1.0,7000000.0,0.0,8,6,6.0,4,4,3.0,3,6,5.0
423684490,7,5.0,1.0,3300000.0,0.0,8,3,5.0,4,3,1.0,1,3,3.0
423682479,7,5.0,1.0,5891900.0,0.0,8,8,2.0,3,5,4.0,3,8,6.0
423681992,8,11.0,1.0,5400000.0,0.0,8,4,6.0,5,4,5.0,2,4,8.0
423679797,8,7.0,1.0,4000000.0,0.0,8,3,6.0,1,3,4.0,2,3,7.0
423678984,8,9.0,1.0,3000000.0,0.0,8,2,5.0,3,4,2.0,1,2,4.0
423678775,7,9.0,5.0,3000000.0,3700000.0,8,8,3.0,4,3,1.0,3,8,5.0
423678668,2,11.0,10.0,1000000.0,1000000.0,8,1,5.0,4,2,3.0,1,1,3.0
423678625,7,9.0,1.0,10000000.0,0.0,8,8,3.0,7,8,1.0,3,8,7.0
423678046,8,13.0,7.0,0.0,500000.0,2,1,4.0,2,3,1.0,1,1,1.0
423677802,10,14.0,5.0,2000000.0,3901500.0,8,8,4.0,7,3,4.0,3,8,8.0
423677234,9,9.0,1.0,1000000.0,0.0,5,1,5.0,4,1,2.0,2,1,1.0
423676999,4,3.0,5.0,1000000.0,4563200.0,8,7,4.0,3,3,5.0,1,7,7.0
423675900,9,9.0,5.0,2000000.0,3845100.0,8,8,4.0,3,3,4.0,1,8,5.0
423675575,2,3.0,1.0,1500000.0,0.0,8,1,4.0,2,3,2.0,1,1,1.0
423672401,1,9.0,1.0,4800000.0,0.0,8,5,5.0,5,3,1.0,2,5,3.0
423672079,2,5.0,5.0,3074000.0,3375000.0,8,8,4.0,7,5,4.0,2,8,7.0
423668496,7,9.0,14.0,5000000.0,0.0,8,6,4.0,5,4,5.0,2,6,6.0
423665448,8,5.0,1.0,3233834.0,0.0,8,2,5.0,1,4,3.0,1,2,4.0
423665366,9,1.0,6.0,0.0,1750000.0,8,1,4.0,1,1,5.0,3,1,3.0
423665153,3,6.0,1.0,6400000.0,0.0,8,5,6.0,6,4,3.0,3,5,6.0
423664564,2,6.0,5.0,2500000.0,4619900.0,8,8,4.0,7,3,4.0,3,8,7.0
423663537,8,3.0,7.0,1700000.0,600000.0,8,1,5.0,4,1,5.0,3,1,6.0
423662842,4,3.0,1.0,1500000.0,0.0,8,1,4.0,1,3,2.0,2,1,3.0
423662783,5,14.0,5.0,13761860.0,4601072.0,8,8,6.0,7,8,1.0,4,8,8.0
423661953,1,12.0,5.0,4500000.0,4300200.0,8,7,7.0,6,6,4.0,3,7,5.0
423661922,7,14.0,14.0,500000.0,1250000.0,8,2,3.0,2,3,1.0,1,2,2.0
423661778,2,6.0,1.0,10900000.0,0.0,8,8,4.0,5,4,5.0,3,8,7.0
423661536,5,9.0,1.0,2.0,0.0,1,1,8.0,1,3,3.0,3,1,1.0
423659523,3,7.0,1.0,45000000.0,0.0,8,8,1.0,8,8,5.0,5,8,8.0
423659484,8,10.0,1.0,5000000.0,0.0,8,8,3.0,7,6,5.0,3,8,8.0
423659437,7,6.0,14.0,1500000.0,2000000.0,8,4,4.0,1,3,4.0,3,4,4.0
423658776,1,5.0,6.0,0.0,4200000.0,8,8,2.0,6,3,5.0,3,8,3.0
423658666,2,11.0,1.0,0.0,0.0,1,1,4.0,1,4,4.0,2,1,2.0
423657791,5,10.0,1.0,4000000.0,0.0,8,5,4.0,4,4,4.0,2,5,6.0
423657471,2,5.0,6.0,10611400.0,2974393.0,8,8,1.0,3,4,1.0,5,8,6.0
423657294,8,11.0,7.0,50000.0,1500000.0,8,1,4.0,5,3,1.0,2,1,3.0
423655611,9,5.0,1.0,7695100.0,0.0,8,8,4.0,5,4,3.0,2,8,8.0
423654545,9,11.0,1.0,1000000.0,0.0,5,1,5.0,3,3,2.0,1,1,2.0
423653373,8,14.0,1.0,15000000.0,0.0,8,8,5.0,7,6,5.0,4,8,8.0
423652569,4,14.0,5.0,1500000.0,4000000.0,8,8,2.0,5,4,3.0,2,8,7.0
423652077,2,11.0,1.0,2500000.0,0.0,8,1,6.0,1,3,4.0,1,1,2.0
423651770,7,6.0,5.0,54000000.0,3797400.0,8,8,4.0,8,4,5.0,3,8,8.0
423651463,7,9.0,1.0,17500000.0,0.0,8,8,7.0,8,6,5.0,5,8,7.0
423650140,4,9.0,1.0,1000000.0,0.0,5,1,3.0,1,3,1.0,1,1,2.0
423650051,3,14.0,5.0,1000000.0,4898100.0,8,5,6.0,4,3,4.0,2,5,5.0
423647001,7,12.0,5.0,0.0,4000000.0,8,8,2.0,3,3,1.0,2,8,4.0
