no_test,fakultas,pekerjaan_ayah,pekerjaan_ibu,penghasilan_ayah,penghasilan_ibu,jumlah_tanggungan,total_pendapatan,pendapatan_class,kepemilikan_rumah,kendaraan,sekolah,listrik,penghasilan,pajak_mobil,pajak_motor,ukt
423405021,7,5,14,6000000,2000000,1,8,8,1,3,0,2,8,0.0,0,2
423179508,7,5,5,4535100,5000000,6,8,8,3,4,150000,1,8,0.0,50000,3
423292479,7,6,1,5600000,0,1,8,8,1,4,240000,3,8,0.0,394000,4
423640114,7,13,5,0,3601600,4,8,4,6,5,0,3,4,3600000.0,350000,4
423345674,7,5,1,4851900,0,4,8,6,5,3,200000,3,6,0.0,436000,4
423132278,7,3,1,2000000,0,4,8,2,3,4,50000,2,2,0.0,260000,2
423582905,7,6,1,3424914,0,3,8,6,4,4,500000,1,6,0.0,375000,5
423368997,7,11,1,1500000,0,3,8,2,3,4,150000,3,2,0.0,115000,2
423099089,7,6,14,4727000,600000,5,8,5,3,4,550000,2,5,0.0,213500,3
423651770,7,6,5,54000000,3797400,4,8,8,8,4,800000,3,8,2000000.0,150000,8
423400831,7,6,1,8900000,0,7,8,7,6,6,83000,3,7,2500000.0,200000,7
423065984,1,7,1,2300000,0,3,8,3,1,3,0,2,3,0.0,175000,2
423581430,6,1,7,0,500000,3,2,1,4,3,0,2,1,0.0,0,1
231710010598,4,5,5,5450500,3945700,5,8,8,4,4,185000,2,8,0.0,255000,8
231710030696,4,14,1,2430000,0,6,8,1,3,3,0,2,1,0.0,0,3
231710041372,4,5,5,3150100,2100000,5,8,5,1,3,150000,2,7,0.0,182000,8
231710050461,4,5,6,4587816,3969450,3,8,8,4,3,0,2,8,2600000.0,200000,8
231710050668,4,7,1,5000000,0,3,8,8,5,6,450000,4,8,945000.0,183500,8
231710050681,4,11,1,2500000,0,2,8,6,4,3,120000,1,6,0.0,194000,6
231710071387,4,3,1,1000000,0,5,5,1,2,1,100,1,1,0.0,0,2
231710091034,4,6,1,7296619,0,4,8,8,5,6,100000,2,8,1500000.0,0,8
231710101243,4,5,5,3907875,4000000,3,8,8,3,3,300000,2,8,600000.0,150000,8
231710020198,10,5,14,4875000,0,5,8,5,3,3,275000,2,5,0.0,244500,4
231710110254,4,5,1,5083000,0,5,8,5,3,3,0,2,7,0.0,146000,7
231710120016,4,5,5,5000000,10000000,8,8,8,8,6,450000,3,8,1500000.0,500000,8
231710140822,4,5,1,4476200,0,3,8,8,7,4,1166000,2,8,0.0,266000,8
231710141257,4,9,1,3000000,0,3,8,5,5,3,200000,3,5,0.0,223000,7
231810160148,4,5,14,3460210,1500000,3,8,8,5,6,60000,2,8,727300.0,350000,8
231810030230,4,11,14,2500000,850000,5,8,3,4,4,60000,2,4,0.0,215000,6
231710180226,4,6,6,5000000,3500000,6,8,8,1,4,500000,4,8,700000.0,150000,8
231910130669,4,11,7,500000,2500000,2,8,8,3,4,250000,1,8,0.0,250000,6
231610040137,4,3,3,2000000,0,5,8,1,3,3,150000,1,1,0.0,175000,6
231710121255,4,5,5,11541250,4770500,3,8,8,7,5,550000,4,8,5000000.0,230000,8
231710230165,4,7,1,7000000,0,7,8,5,5,3,150000,4,5,0.0,350000,7
231710021057,4,9,5,1500000,5000000,3,8,8,7,3,80000,3,8,0.0,175000,8
231710151227,4,5,12,5000000,2000000,5,8,7,3,3,350000,2,7,0.0,200000,7
231710060100,4,5,5,4829700,4000000,5,8,8,5,6,185000,3,8,1765250.0,150000,8
231710100816,4,7,1,1500000,0,5,8,1,1,3,0,2,1,0.0,0,2
231710120010,4,6,13,3860000,0,3,8,7,1,3,450000,3,7,0.0,152000,7
231710060475,4,5,5,4778700,5756100,3,8,8,6,7,222222,3,8,2300000.0,300000,8
231710130113,4,14,1,4000000,0,5,8,3,6,3,300000,3,3,0.0,218000,7
231710081111,4,3,1,2000000,0,3,8,3,2,3,0,1,3,0.0,122000,2
231510110307,4,9,1,2500000,0,6,8,1,3,1,0,2,1,0.0,0,2
231710010452,4,5,1,4000000,0,4,8,5,4,4,150,3,8,0.0,125,6
231710050269,4,9,1,1000000,0,2,5,2,4,3,0,2,2,0.0,300000,3
231710060272,4,1,5,0,4898000,6,8,4,7,4,450000,3,8,2000000.0,700000,7
231710041157,4,9,1,3000000,0,4,8,3,1,3,75000,2,3,0.0,250000,3
231710010648,4,3,1,800000,0,3,3,1,3,3,0,2,1,0.0,340000,2
231710041085,4,1,5,0,4378100,3,8,8,1,3,0,3,8,0.0,147000,6
231710020387,4,3,3,1000000,500000,5,8,1,3,4,60000,2,1,0.0,0,3
231710021109,4,6,1,4500000,0,5,8,4,1,4,0,3,8,0.0,182000,7
231810160006,4,6,1,5801600,0,3,8,8,3,4,60000,2,8,0.0,230000,7
231810080134,4,9,1,3500000,0,5,8,3,2,4,60000,2,6,0.0,280000,4
231710041316,4,5,5,5115900,3191700,1,8,8,7,3,85000,3,8,2017250.0,497325,8
231710151160,4,5,1,800000,0,5,3,1,3,3,0,3,1,0.0,170,2
231710020135,4,3,1,3000000,0,4,8,3,3,3,350000,2,5,0.0,74000,6
231710240146,4,6,1,5799850,0,4,8,8,4,3,0,2,8,0.0,357000,7
231710160195,4,9,5,2000000,4745000,2,8,8,4,3,120000,2,8,0.0,150000,8
231810060248,4,11,6,2000000,2517456,2,8,8,3,4,50000,4,8,0.0,250000,7
231710101280,4,11,1,1500000,0,4,8,1,1,4,0,1,1,0.0,315000,2
231710010009,4,11,1,2000000,0,5,8,1,2,3,0,2,1,0.0,200000,2
