no_test,fakultas,keberadaan_ayah,pekerjaan_ayah,keberadaan_ibu,pekerjaan_ibu,penghasilan_ayah,penghasilan_ibu,pendapatan_class,total_pendapatan,jumlah_tanggungan,kepemilikan_rumah,kendaraan,sekolah,listrik,ukt
423694251,3,1,7,1,1,8,1,1,300000.0,5,1,3,4,1,2
423691309,7,1,9,1,1,8,1,1,400000.0,5,2,3,1,2,2
423688129,3,1,7,1,1,8,1,1,250000.0,6,2,3,1,1,2
423686416,7,1,14,1,5,1,8,6,1119050.0,4,2,3,1,3,3
423685541,5,1,11,1,1,8,1,1,400000.0,5,1,3,1,2,2
423684779,7,1,6,1,1,8,1,6,1166666.6666666667,6,4,4,3,3,5
423684490,7,1,5,1,1,8,1,3,660000.0,5,4,3,1,1,3
423682479,7,1,5,1,1,8,1,8,2945950.0,2,3,5,4,3,6
423681992,8,1,11,0,1,8,1,4,900000.0,6,5,4,5,2,8
423679797,8,1,7,1,1,8,1,3,666666.6666666666,6,1,3,4,2,7
423678984,8,1,9,1,1,8,1,2,600000.0,5,3,4,2,1,4
423678775,7,1,9,1,5,8,8,8,2233333.3333333335,3,4,3,1,3,5
423678668,2,1,11,1,10,5,5,1,400000.0,5,4,2,3,1,3
423678625,7,1,9,1,1,8,1,8,3333333.3333333335,3,7,8,1,3,7
423678046,8,0,13,1,7,1,2,1,125000.0,4,2,3,1,1,1
423677802,10,1,14,1,5,8,8,8,1475375.0,4,7,3,4,3,8
423677234,9,1,9,1,1,5,1,1,200000.0,5,4,1,2,2,1
423676999,4,1,3,1,5,5,8,7,1390800.0,4,3,3,5,1,7
423675900,9,1,9,0,5,8,8,8,1461275.0,4,3,3,4,1,5
423675575,2,1,3,1,1,8,1,1,375000.0,4,2,3,2,1,1
423672401,1,1,9,1,1,8,1,5,960000.0,5,5,3,1,2,3
423672079,2,1,5,1,5,8,8,8,1612250.0,4,7,5,4,2,7
423668496,7,1,9,1,14,8,1,6,1250000.0,4,5,4,5,2,6
423665448,8,1,5,1,1,8,1,2,646766.8,5,1,4,3,1,4
423665366,9,1,1,1,6,1,8,1,437500.0,4,1,1,5,3,3
423665153,3,1,6,1,1,8,1,5,1066666.6666666667,6,6,4,3,3,6
423664564,2,1,6,1,5,8,8,8,1779975.0,4,7,3,4,3,7
423663537,8,1,3,1,7,8,2,1,460000.0,5,4,1,5,3,6
423662842,4,1,3,1,1,8,1,1,375000.0,4,1,3,2,2,3
423662783,5,1,14,1,5,8,8,8,3060488.6666666665,6,7,8,1,4,8
423661953,1,1,12,1,5,8,8,7,1257171.4285714286,7,6,6,4,3,5
423661922,7,1,14,1,14,2,6,2,583333.3333333334,3,2,3,1,1,2
423661778,2,1,6,1,1,8,1,8,2725000.0,4,5,4,5,3,7
423661536,5,1,9,1,1,1,1,1,0.25,8,1,3,3,3,1
423659523,3,1,7,1,1,8,1,8,45000000.0,1,8,8,5,5,8
423659484,8,1,10,1,1,8,1,8,1666666.6666666667,3,7,6,5,3,8
423659437,7,1,6,1,14,8,8,4,875000.0,4,1,3,4,3,4
423658776,1,1,5,1,6,1,8,8,2100000.0,2,6,3,5,3,3
423658666,2,1,11,1,1,1,1,1,0.0,4,1,4,4,2,2
423657791,5,1,10,1,1,8,1,5,1000000.0,4,4,4,4,2,6
423657471,2,1,5,1,6,8,8,8,13585793.0,1,3,4,1,5,6
423657294,8,1,11,1,7,1,8,1,387500.0,4,5,3,1,2,3
423655611,9,1,5,1,1,8,1,8,1923775.0,4,5,4,3,2,8
