no_test,fakultas,pekerjaan_ayah,pekerjaan_ibu,penghasilan_ayah,penghasilan_ibu,total_pendapatan,pendapatan_class,jumlah_tanggungan,kepemilikan_rumah,kendaraan,sekolah,listrik,penghasilan,pajak_mobil,pajak_motor,ukt
423261801,10,11.0,1.0,1500000,0,8,1,4,2,4,50000,3,1,0.0,300,3
423076776,10,9.0,1.0,2120000,0,8,1,5,4,1,0,2,1,0.0,0,3
423576201,10,11.0,1.0,1000000,0,5,1,7,3,3,0,1,1,0.0,170000,3
423313833,10,1.0,3.0,0,2000000,8,2,4,4,3,0,2,5,0.0,350000,3
423184760,10,5.0,5.0,4164000,5379000,8,8,4,8,4,100000,2,8,0.0,300000,8
423022730,8,14.0,14.0,2000000,3500000,8,3,7,1,3,330000,3,3,2100000.0,350000,6
423219151,3,5.0,10.0,10996972,1500000,8,8,4,6,6,450000,3,8,2600000.0,304000,4
423300563,10,10.0,1.0,28000000,0,8,8,6,5,3,2000000,4,8,3000000.0,400000,8
423060344,10,3.0,1.0,2000000,0,8,1,5,2,3,200000,2,1,0.0,180000,2
423289805,10,12.0,5.0,0,4955900,8,6,4,5,6,135000,3,6,960000.0,150000,7
423363132,10,1.0,5.0,0,4181200,8,4,5,4,4,50000,3,4,0.0,224500,5
423479068,10,5.0,1.0,5105200,0,8,5,5,1,3,200000,1,5,2000000.0,200000,5
423285356,10,9.0,5.0,3500000,3567600,8,8,5,4,6,0,2,8,2000000.0,300000,7
423490252,10,11.0,11.0,1000000,1000000,8,3,3,3,3,0,2,3,0.0,606,3
423408133,10,6.0,1.0,4000000,0,8,7,3,4,3,0,2,7,0.0,140000,5
423126365,10,11.0,14.0,2000000,0,8,1,5,4,4,65000,3,1,1663000.0,279000,4
423156568,10,14.0,1.0,2500000,0,8,2,4,2,1,0,2,2,0.0,0,3
423575366,10,9.0,14.0,10000000,0,8,8,6,8,1,500000,5,8,4000000.0,300000,8
423110597,10,11.0,1.0,3000000,0,8,2,5,5,3,150000,2,2,0.0,0,5
423134063,10,6.0,1.0,3000000,0,8,2,5,5,3,60000,2,2,0.0,165000,4
423053137,10,3.0,1.0,2000000,0,8,3,3,2,4,0,2,3,0.0,250000,4
423394627,10,14.0,6.0,3500000,3500000,8,6,6,5,3,500000,3,6,1350000.0,230000,8
423536886,10,12.0,1.0,10000000,0,8,8,4,8,8,1500000,4,8,3500000.0,200000,8
423483293,10,5.0,1.0,4000000,0,8,3,6,5,3,100000,4,3,0.0,245000,5
423034288,10,9.0,1.0,2000000,0,8,3,3,7,4,3200000,2,3,0.0,450000,6
423205300,10,6.0,3.0,0,0,1,1,2,4,3,30000,2,1,0.0,0,5
423572250,10,6.0,1.0,7000000,0,8,6,6,5,3,1200000,4,6,2000000.0,200000,8
423418442,10,9.0,1.0,7000000,0,8,8,4,7,3,500000,2,8,2000000.0,300000,8
423677802,10,14.0,5.0,2000000,3901500,8,8,4,7,3,300000,3,8,0.0,213500,8
423288392,10,9.0,5.0,6000000,4400000,8,8,3,5,6,150000,3,8,4000000.0,200000,8
423393139,10,14.0,1.0,2500000,0,8,2,4,1,6,500000,5,4,1434500.0,227000,5
423426688,10,5.0,1.0,5426000,0,8,8,2,4,3,0,2,8,0.0,250000,7
423365667,10,3.0,1.0,650000,0,2,1,5,1,1,0,2,1,0.0,0,1
423114461,10,3.0,1.0,2100000,0,8,8,1,2,3,0,3,8,0.0,120000,6
423051776,10,6.0,1.0,3000000,0,8,2,6,7,3,200000,2,2,0.0,350000,4
423553212,10,5.0,6.0,7000000,40000000,8,8,6,8,7,1375000,3,8,2700000.0,200000,8
423285174,10,12.0,14.0,2000000,300000,8,8,1,1,1,0,1,8,0.0,0,4
423580971,10,6.0,5.0,4200000,4200000,8,8,5,6,5,275000,3,8,0.0,900000,7
423223109,10,9.0,1.0,5000000,0,8,6,4,3,3,0,2,6,2600000.0,250000,6
423433572,10,6.0,1.0,3000000,0,8,5,3,3,3,0,2,5,0.0,200000,6
423417467,10,5.0,5.0,5701900,3963800,8,8,2,7,4,0,3,8,0.0,600000,8
423535025,10,6.0,7.0,1347797,200000,8,1,4,5,3,150,2,1,0.0,0,4
